Data,R0
2020-02-28,4.27
2020-02-29,4.04
2020-03-01,4.52
2020-03-02,3.89
2020-03-03,3.54
2020-03-04,3.56
2020-03-05,2.81
2020-03-06,2.94
2020-03-07,2.88
2020-03-08,3.09
2020-03-09,3.21
2020-03-10,3.37
2020-03-11,2.85
2020-03-12,2.69
2020-03-13,2.57
2020-03-14,2.88
2020-03-15,2.72
2020-03-16,2.53
2020-03-17,2.44
2020-03-18,2.28
2020-03-19,2.18
2020-03-20,2.22
2020-03-21,2.23
2020-03-22,2.32
2020-03-23,2.13
2020-03-24,1.95
2020-03-25,1.79
2020-03-26,1.71
2020-03-27,1.69
2020-03-28,1.66
2020-03-29,1.66
2020-03-30,1.58
2020-03-31,1.43
2020-04-01,1.35
2020-04-02,1.29
2020-04-03,1.31
2020-04-04,1.32
2020-04-05,1.31
2020-04-06,1.3
2020-04-07,1.29
2020-04-08,1.21
2020-04-09,1.15
2020-04-10,1.13
2020-04-11,1.15
2020-04-12,1.17
2020-04-13,1.17
2020-04-14,1.18
2020-04-15,1.13
2020-04-16,1.1
2020-04-17,1.09
2020-04-18,1.09
2020-04-19,1.07
2020-04-20,1.05
